sep=,
epoch,mean_fg_dice,dice_1_other,dice_2_non-invasive_epithelium,dice_3_invasive_epithelium,dice_4_necrosis
0,0.28334404277268904,0.4591190996804415,0.25879992104894,0.3900126367434311,0.02544451361794351
1,0.3838667867358702,0.5260517758951821,0.4586264099810441,0.06615240266109536,0.4846365584061591
2,0.25006462304091986,0.4959975154216861,0.46783851033159596,0.003950289588787749,0.032472176821609584
3,0.3627198560028601,0.4889631578926511,0.4940009470498854,0.05862466927459542,0.4092906497943085
4,0.3327640557760866,0.5175064143218675,0.4907620722065973,0.0,0.3227877365758816
5,0.4056424337588774,0.5247958720258736,0.520900866631181,0.006044347379683608,0.5708286489987713
6,0.45620796889020426,0.5397388253636997,0.3179714901883067,0.4269206179738794,0.5402009420349312
7,0.3624493329391161,0.44887915552040336,0.21414169720839293,0.4038125811120012,0.382963897915667
8,0.40395748042394825,0.5293809333398577,0.48285952366186524,0.18185540701851238,0.4217340576755577
9,0.419182478750435,0.5602773503621481,0.4622999514759512,0.1610366781548417,0.4931159350087991
10,0.32021182029088585,0.5204170020609313,0.4422291462939186,0.2955223906110758,0.02267874219761775
11,0.410403159813871,0.488128974639141,0.2922808263669589,0.3860621604108142,0.47514067783856984
12,0.3687454417798324,0.517552534985948,0.45768960647011675,0.20200975198163626,0.29772987368162857
13,0.35534646092788397,0.5190491313882248,0.1585967253691465,0.4213658338748173,0.3223741530793471
14,0.30410802719841545,0.19226279540583002,0.44424985337096157,0.2714482124381414,0.30847124757872885
15,0.42781238801037236,0.5327700287561243,0.2689149741110568,0.4287175124031734,0.4808470367711349
16,0.44892038521632494,0.5627066139194803,0.239108779884501,0.45030758005013577,0.5435585670111825
17,0.4597750024776288,0.5527242096105176,0.48458494464573715,0.39374639556264307,0.40804446009161754
18,0.41523431805049,0.5382508865078007,0.4864479691212022,0.10880355573494545,0.5274348608380117
19,0.4220217296233134,0.5766686048876998,0.49468414084991025,0.15987916563609442,0.4568550071195493
20,0.36782897916457286,0.5076965968508137,0.5074856384263582,0.15601597969208764,0.3001177016890319
21,0.49015831642037727,0.5285891238581101,0.5207220300083051,0.3731964124161746,0.5381256993989194
22,0.3639536295355232,0.4800546872630381,0.493148291252174,0.010489441800837215,0.47212209782604336
23,0.4687599469492387,0.524278549192794,0.5694799951519642,0.3982384782743186,0.383042765177878
24,0.47502512981614253,0.5615711237827775,0.4659402761759297,0.3582023935619801,0.5143867257438831
25,0.49458995153570395,0.6021243839148132,0.40200471318875763,0.4901550488664864,0.4840756601727585
26,0.4377857712120589,0.5067957296682104,0.4440904579330766,0.38592909160359967,0.4143278056433488
27,0.45256235710991866,0.6150712684496066,0.41967688461333935,0.4776064755848347,0.2978947997918938
28,0.4090969317742057,0.496617640603921,0.34950390440884194,0.42686766955070266,0.3633985125333572
29,0.41211305702631784,0.5367752166543843,0.35187546744062204,0.42906627457139696,0.330735269438868
30,0.5444579200487429,0.5950398790678669,0.5303588764176796,0.5285451923519817,0.5238877323574431
31,0.44021781920907377,0.5560918363286244,0.5300153972442601,0.19844454944236736,0.4763194938210433
32,0.5103140322399031,0.6017614273930754,0.47929252829467667,0.4341255193604971,0.5260766539113633
33,0.49866044022418143,0.5018994020136994,0.5448625144877615,0.4967096382073797,0.45117020618788506
