sep=,
epoch,mean_fg_dice,dice_1_other,dice_2_non-invasive_epithelium,dice_3_invasive_epithelium,dice_4_necrosis
0,0.613045726728249,0.549830755371935,0.5962985739387519,0.5806906814146473,0.7253628961876617
1,0.6278541705973495,0.549519139792499,0.6262130591079099,0.6226206447604044,0.7130638387285848
2,0.605633617805721,0.5448766080412215,0.5665268695472058,0.5516800198542606,0.7594509737801963
3,0.6436472660885357,0.5425224565534624,0.6723216770895656,0.6131220871746244,0.7466228435364907
4,0.6357043382291212,0.6115686974381911,0.5974955665615159,0.6107683984145433,0.7229846905022341
5,0.6692405992899427,0.5716394301380627,0.6967717505985512,0.5520578462226624,0.8564933702004944
6,0.6875347070893967,0.5526816249194213,0.7649699411472091,0.5788389199299255,0.853648342361031
7,0.6872861251637817,0.5415523953649979,0.71192820310138,0.6625869549041099,0.833076947284639
8,0.5881083747841789,0.504561214137727,0.6906941197121091,0.42266589591502635,0.7345122693718531
9,0.6684617674307097,0.6496264176308232,0.7028309946707325,0.6817748861830569,0.639614771238226
10,0.6747571883235232,0.6018676985220706,0.7075218439665147,0.643473604628609,0.7461656061768984
11,0.7019100746069464,0.6287938197204934,0.715247022972572,0.6358917695706561,0.827707686164064
12,0.6664880057854884,0.5259354395551478,0.7418975250488877,0.6477586268350617,0.7503604317028564
13,0.6093024987400657,0.49403208741426674,0.7359649523782208,0.6603760159651445,0.5468369392026305
14,0.6544208853282315,0.6322292770430937,0.6593960766784903,0.5175998831199029,0.8084583044714392
15,0.6475512772895481,0.5991575125295948,0.6996314238095778,0.5735406984744772,0.7178754743445425
16,0.6031133233439069,0.5632234917937824,0.6196835884537824,0.5761817923802737,0.653364420747789
17,0.6269371290860987,0.5749805722197081,0.6773168844908297,0.5899024279993718,0.665548631634485
18,0.6036639713760501,0.5597695487109524,0.608661339527629,0.5073685221547325,0.7388564751108861
19,0.632059098880733,0.5763459422896713,0.7225979238419773,0.547488286830568,0.6818042425607151
20,0.6267958828360058,0.5704019330611083,0.7170495658856453,0.6777226200750894,0.5420094123221801
21,0.6662254632305136,0.6178692229838042,0.6547567150912751,0.5977360560166866,0.7945398588302883
22,0.6032248674728029,0.5107620620031224,0.6761254841994416,0.4379475991463921,0.7880643245422555
23,0.6148930367066461,0.5847439284603513,0.6576613780343493,0.4567834280314098,0.7603834123004738
24,0.6415326371127984,0.6630077451384496,0.634000448037789,0.5528514249127421,0.716270930362213
25,0.6168088013470869,0.5123500831436588,0.640205799963476,0.4778418331868016,0.8368374890944112
26,0.687185463524314,0.5937166113519721,0.8000518278220747,0.6226549084742444,0.7323185064489649
27,0.6398810348811216,0.5134247528150566,0.6541021825850796,0.6281930617387962,0.7638041423855539
28,0.71247293163917,0.5840680595795479,0.779284376271847,0.6510710405637062,0.8354682501415793
29,0.6889005724498226,0.5860365766031753,0.7376972139508033,0.6263011971011284,0.8055673021441833
30,0.6864141953750025,0.573474941223441,0.7421860457178105,0.6923064350072118,0.7376893595515466
31,0.6144201392514163,0.5548964290011676,0.6433087572301717,0.4778639843761205,0.7816113863982049
32,0.65253794977385,0.5806443076780229,0.6537026670679557,0.5688098879848434,0.8069949363645783
33,0.6556578484400509,0.5460106501713785,0.6718987995967683,0.6035642898303878,0.8011576541616692
34,0.6299200394304847,0.5857129352246552,0.5860241686773269,0.5833309354154214,0.7646121184045354
35,0.6369950643325148,0.549437278884707,0.6897082836042344,0.5469653752177441,0.7618693196233739
36,0.5982973485381695,0.5718537581458193,0.6607051956479891,0.6145303596684234,0.5461000806904466
37,0.6780340075581587,0.676083350481178,0.6963359019633186,0.6492645597998283,0.6904522179883096
38,0.6645835267856763,0.6070516808589377,0.7131274167718064,0.47594878601956037,0.8622062234924013
39,0.6563603831801301,0.5465187174857838,0.733106455354767,0.5824009935987821,0.7634153662811873
40,0.671091536848025,0.6247315989728438,0.6950527550405984,0.6040918928840548,0.7604899004946033
41,0.571956507179524,0.5485520816827361,0.6202456242989162,0.3320821661318274,0.7869461566046162
42,0.6394352071421517,0.6236892470451112,0.6705144783955866,0.5785479652542869,0.6849891378736225
43,0.7212897148411084,0.6280359872821869,0.7884366358202425,0.7252725974939249,0.7434136387680794
44,0.6311054026116221,0.612860569243545,0.6623535614478803,0.5446302533495133,0.7045772264055498
