fold,other,non_invasive_epithelium,invasive_epithelium,necrosis,macro_dice,micro_dice,non_invasive_to_invasive,invasive_to_non_invasive
0,0.9785569304140432,0.7697771350785578,0.742711097130066,0.7712358674991386,0.8155702575304514,0.9091276433323983,0.1215746428200569,0.2517151214976947
1,0.9687403158103856,0.7358523983170504,0.7367961195974283,0.6645202346433277,0.776477267092048,0.8938513056070089,0.04379881875754658,0.32762797314997133
2,0.979233635688734,0.8501809304182039,0.7888307280874601,0.778194989255184,0.8491100708623955,0.932460948791431,0.14029044756287531,0.09743107088825621
3,0.9626718288985602,0.901074732186579,0.8135628117798043,0.5820655890807486,0.814843740486423,0.9237629747280424,0.019974454380937624,0.14646874029299073
4,0.9769873276532651,0.9037022590882814,0.8638838436339425,0.8559976492361883,0.9001427699029193,0.9499731672944625,0.023819358178793472,0.06834711327509455
pooled,0.9738727749282194,0.8342647842305758,0.7882027516193166,0.7338338713859645,0.8325435455410191,0.9232368292269489,0.07648319927614819,0.18570837110035943
