sep=,
epoch,mean_fg_dice,dice_1_other,dice_2_non-invasive_epithelium,dice_3_invasive_epithelium,dice_4_necrosis
0,0.6995973535194535,0.6655803547529526,0.7470956286636536,0.5776680766601924,0.8080453540010155
1,0.6434496890582926,0.610264253558115,0.6960494423162896,0.6100856701744993,0.6573993901842667
2,0.7571712920988227,0.6168657985105109,0.8174994532273382,0.7142594907296262,0.8800604259278156
3,0.6720219835620989,0.5693324579469676,0.7473962178764985,0.6716486281758453,0.6997106302490842
4,0.6769234887770885,0.6246069553717224,0.7943753873817422,0.592785260015312,0.6959263523395776
5,0.7642398011729742,0.6602423599506503,0.8336353258829593,0.6992027326570488,0.8638787862012385
6,0.7414186209946402,0.6683690639398419,0.7868902353790183,0.6972827724330726,0.813132412226628
7,0.7110959481123164,0.5956232707322285,0.7877568567434554,0.6621738444437567,0.7988298205298247
8,0.7397725370209698,0.6117047307231234,0.7917626578419957,0.7159472252423003,0.8396755342764595
9,0.718782954492839,0.6191359093169949,0.791679242887934,0.6820119830003095,0.7823046827661172
10,0.7266763260475162,0.5945731113319397,0.8114101646043987,0.6484404148333558,0.8522816134203708
11,0.7230262342041958,0.6197246025154395,0.7794431270297253,0.699058332583485,0.7938788746881336
12,0.7071318657607071,0.6020234954545841,0.7766922160092371,0.7131686030968006,0.7366431484822067
13,0.627899124853315,0.6523449545308325,0.6991977391158883,0.45962465237374545,0.7004291533927935
14,0.6717439764352608,0.5401607362599671,0.7577492132449702,0.6487021402021759,0.7403638160339301
15,0.7058474665779789,0.5768902087358877,0.7199326507006449,0.6853999685171626,0.8411670383582205
16,0.6926670041841141,0.6521468105942636,0.7596783828422279,0.5892688038640381,0.7695740194359268
17,0.7417529328826513,0.610717396487167,0.84270559097968,0.6789591130888077,0.8346296309749502
18,0.6760188624796413,0.5778644896156596,0.743099362170626,0.6371268787607491,0.7459847193715305
19,0.7533071555915163,0.6662735868562523,0.7779097782724822,0.6550799896843765,0.9139652675529542
20,0.6677215039220205,0.5323624403079453,0.7494621758795003,0.5765535619538841,0.812507837546752
21,0.7313670526142603,0.7086255982387722,0.7579225247478734,0.6215788064075833,0.8373412810628121
22,0.7098897869896844,0.6220250125648323,0.8138098191371425,0.652883651918212,0.750840664338551
23,0.6828115701308677,0.605460360458213,0.7478846169578295,0.6274403968760587,0.7504609062313696
24,0.7398281369091486,0.6122385223600595,0.8369743706749648,0.7177995610060542,0.792300093595516
25,0.7273049019412997,0.6951192817736577,0.7746624214058114,0.6210097460848687,0.8184281585008608
26,0.7325415495396518,0.6137946375654585,0.7983590043236796,0.6961231460059424,0.8218894102635269
27,0.7102663573643282,0.643192221626621,0.7715565418482327,0.5691592444139861,0.8571574215684727
28,0.6989024931370011,0.6599278087891071,0.731913862169973,0.694387970484554,0.7093803311043705
29,0.6766007042934183,0.6806291784501481,0.7551105845271232,0.6412450023525543,0.6294180518438475
30,0.7023881089725167,0.6626374323902627,0.7383403186104558,0.6390747912276981,0.7694998936616503
31,0.6752384557306519,0.5914482741775924,0.7591725392972865,0.6860108187910174,0.6643221906567109
32,0.6849447016932857,0.6441029281484435,0.7739960209278723,0.5842010231412303,0.7374788345555965
33,0.674530133541983,0.6008401415064948,0.7251072185970064,0.4806338994098332,0.8915392746545975
34,0.7115903327560924,0.6454337235275529,0.7530675088410527,0.6152873273382223,0.8325727713175416
35,0.7326591601929662,0.636745474816986,0.7517972100384432,0.747745421453215,0.7943485344632206
36,0.6790260892904427,0.6477347543415807,0.7177666192822867,0.609856258578732,0.7407467249591716
37,0.6991340504732184,0.6381616494431848,0.7388289008144936,0.6154069649374561,0.8041386866977396
38,0.6922192277303738,0.6618436968970695,0.719074068654681,0.6434035341749882,0.744555611194756
39,0.677503675687298,0.5344850193154606,0.733208743747842,0.5868365436013261,0.8554843960845632
40,0.7041873289593491,0.6627934327504988,0.7676779263061752,0.6185462478444387,0.767731708936284
41,0.6949374145921327,0.6007113028505676,0.7624091396568423,0.5837623162889445,0.8328668995721762
42,0.6941413054778582,0.6329580272111084,0.7361867269138909,0.6363110880414018,0.7711093797450318
43,0.7304793477484238,0.5765782013176687,0.8241629097993529,0.652956025997896,0.8682202538787775
44,0.6960082584612538,0.7087431409524036,0.7757380224739796,0.5943889100809469,0.705162960337685
45,0.6652004865225415,0.5968723018512865,0.7095926124506797,0.5876390317233721,0.7666980000648277
46,0.6988826969487592,0.6673390892138822,0.7422203407399252,0.5887533091681983,0.7972180486730309
47,0.6991461192964967,0.634407680191423,0.7774854122674862,0.6164896383956253,0.7682017463314522
48,0.684018761332437,0.7209786296478331,0.6384504173352586,0.6356742649262366,0.7409717334204199
49,0.697959749486964,0.652059953251464,0.7135940499388781,0.669316980688141,0.7568680140693732
50,0.7170906030421645,0.516598278486246,0.7759892179079686,0.6950505420733514,0.8807243737010921
51,0.7202578079340669,0.6953584527582038,0.7057630629962672,0.6477763024796388,0.8321334135021576
52,0.715056543108957,0.549939840147388,0.7775250042585623,0.7450287609723953,0.7877325670574828
53,0.7543884712933575,0.7035943981614639,0.8018730842058497,0.7101860182839675,0.801900384522149
54,0.7640808812090306,0.6728400678700113,0.7871512864304506,0.7755568903635993,0.8207752801720613
55,0.641397255804009,0.5436843140961498,0.724482947834028,0.5298029758732407,0.7676187854126172
56,0.6882614607003001,0.5328273107896013,0.8056210448352144,0.6953922409420161,0.7192052462343684
57,0.6654710584048479,0.5096506304059559,0.7868999309424562,0.5671838671935712,0.7981498050774083
58,0.6968527056953924,0.5895231580466798,0.7342819648623704,0.6362993658951173,0.8273063339774019
59,0.7115667920636266,0.6188092473994384,0.7927028469945683,0.6225081702180807,0.812246903642419
60,0.7149280974985801,0.6232749353917011,0.7755094649952876,0.6815972747045921,0.7793307149027393
61,0.7321782594072382,0.6515457273049498,0.7982141148857771,0.6979134357623337,0.7810397596758927
62,0.7236389543203552,0.5802052201220802,0.8088408655474427,0.6362325428269778,0.86927718878492
63,0.6965771355670247,0.6752126305372396,0.6916542295128754,0.5910182604981971,0.8284234217197868
64,0.7000004548684344,0.6391709318458965,0.7391238962243472,0.6119341785802228,0.8097728128232713
65,0.6220513010799956,0.5517782657435318,0.7576660131689142,0.5417347237001819,0.6370262017073544
66,0.7174900122950567,0.6765011464551902,0.7930920854040204,0.6603574182776744,0.7400093990433421
67,0.69046131355607,0.6404378102997159,0.7441304442188096,0.6279396232566764,0.749337376449078
68,0.7000350574942626,0.5820065932963594,0.7425053665220681,0.6123681355770214,0.8632601345816017
69,0.7363094732410689,0.6317169527931694,0.7930507712627736,0.6488012047595108,0.8716689641488216
70,0.7374072142835674,0.5502909798431728,0.7980884863226289,0.7238582680999922,0.8773911228684755
71,0.7404313788536742,0.6914384904675261,0.7485320507974885,0.7294195023852413,0.7923354717644404
72,0.7363353980179886,0.6830390290032785,0.7706399103304067,0.6376993891267646,0.8539632636115048
73,0.7104073582098992,0.5836833967618297,0.7702087568769355,0.6576022344518704,0.8301350447489612
74,0.6981421897999915,0.6221860630290489,0.7359023947612495,0.6271986757889326,0.807281625620735
75,0.7238845719002691,0.6721513731505409,0.7926658521194153,0.6598867920819909,0.7708342702491295
76,0.7204039934851721,0.5977012351518516,0.7585314582592635,0.6373459180090442,0.8880373625205292
