sep=,
epoch,mean_fg_dice,dice_1_other,dice_2_non-invasive_epithelium,dice_3_invasive_epithelium,dice_4_necrosis
0,0.5673799968779325,0.46580072445071197,0.6755030097671485,0.5752639435152678,0.5529523097786019
1,0.5988472141995053,0.5676950025636098,0.6560124783776597,0.5024857068550543,0.669195669001697
2,0.6623687933929848,0.6319778298954484,0.6719390319605383,0.663201627012845,0.6823566847031074
3,0.6146152950173638,0.5605006465061484,0.6203848912662872,0.5539378208030281,0.7236378214939916
4,0.5530538927959336,0.5229035998594885,0.6558562543391968,0.4623517136504415,0.5711040033346075
