sep=,
epoch,mean_fg_dice,dice_1_other,dice_2_non-invasive_epithelium,dice_3_invasive_epithelium,dice_4_necrosis
0,0.3404570149792424,0.5597211946115261,0.46722992297999044,0.0,0.33487694232545306
1,0.23815248284718005,0.11368522138067327,0.4855941653668742,0.0,0.35333054464117275
2,0.3448885939921893,0.5310883676825722,0.5267051486049921,0.0,0.3217608596811929
3,0.3534525883360049,0.48142512168746543,0.5278140874883847,0.011933201591603184,0.3926379425765665
4,0.3409594168776341,0.5353107172700903,0.5486587488575421,0.0001410458790277817,0.2797271555038763
5,0.36222336959721574,0.5641132003014545,0.5123669183579497,0.0020136881738452976,0.37039967155561354
6,0.3416484592160325,0.4794744250408936,0.5242273362507227,0.017747945932720482,0.3451441296397929
7,0.31364260000665534,0.4854129138289544,0.5281406657123088,2.4764534797121284e-06,0.2410143440318787
8,0.3426518396751607,0.5388513872627849,0.5300089739221424,0.008845172570149893,0.29290182494556566
9,0.3778509026925111,0.5548022114153468,0.5370178058922523,0.005879039979794495,0.4137045534826506
10,0.3516099179788267,0.44637739961468337,0.5316422299010226,0.01274092149794203,0.4156791209016588
11,0.34819475731533245,0.5463830564356582,0.49669762737592765,0.018809862257935777,0.33088848319180814
12,0.33393798578413125,0.4797747804391453,0.5224069897538821,0.03321543713307018,0.3003547358104275
13,0.3729890096616639,0.5761316933284639,0.4708543101342739,0.20401493454997846,0.24095510063393927
14,0.3863608613619084,0.5364065186672275,0.4305503439105263,0.19593030476014395,0.3825562781097357
15,0.41040388254266075,0.5271861376357836,0.4539482464160706,0.2155011096426996,0.44498003647608925
16,0.40246362102071304,0.5514910076492303,0.45950806919143294,0.26700186018971833,0.33185354705247055
17,0.3883133201932608,0.5329110969119348,0.41253906964049875,0.3180763173025559,0.28972679691805364
18,0.3943221597093326,0.5175610809603912,0.4187556737559573,0.3696664313180698,0.2713054528029121
19,0.38031862967120245,0.5103376859470361,0.45362167232972145,0.26960956481925824,0.287705595588794
20,0.40428922155465286,0.5488675819059922,0.4523822150323228,0.2846560433036329,0.3312510459766635
21,0.4196106332475418,0.5274735810107755,0.47696663000317463,0.29155077914428734,0.3824515428319297
22,0.4304930483973598,0.5018480339041393,0.5002895277246764,0.35166889841494814,0.3681657335456755
23,0.4674450006269843,0.5471098410062676,0.4833118612564793,0.3595778449499169,0.4797804552952734
24,0.4918639915504688,0.5241000172703341,0.5435593597526687,0.42388760606731657,0.4759089831115556
25,0.4620700014133551,0.5279208075297859,0.5201151745679317,0.3202482844041558,0.4799957391515471
26,0.48049558721418306,0.49955269697292204,0.5313249954644493,0.4237959122471525,0.46730874417220836
27,0.4734102522884829,0.5415744878260241,0.5306082272812059,0.4453889414378967,0.3760693526088049
28,0.509429554212443,0.5815033869981139,0.5507247222249355,0.41520388478070624,0.49028622284601653
29,0.502601320122357,0.5793075470847998,0.5790010295118964,0.3622535518589529,0.4898431520337792
30,0.49558120267827366,0.5274833793611216,0.5681488427513549,0.3752604912729681,0.5114320973276499
31,0.5232925642229785,0.5782488117601504,0.546505584663169,0.4290196067475958,0.539396253720999
32,0.4974711707438336,0.5894863584867975,0.48468203814127936,0.3774359600370446,0.538280326310213
