sep=,
GT \ Pred,0_unannotated_or_ignored,1_other,2_non_invasive_epithelium,3_invasive_epithelium,4_necrosis
0_unannotated_or_ignored,0.000000,0.000000,0.000000,0.000000,0.000000
1_other,0.000000,0.948057,0.017091,0.016552,0.018300
2_non-invasive epithelium,0.000000,0.018712,0.904062,0.043799,0.033427
3_invasive epithelium,0.000000,0.023557,0.327628,0.645242,0.003573
4_necrosis,0.000000,0.024837,0.052903,0.007803,0.914456
